id,description,address,phone,schedule,thumbnails,thumb,lat,lon,hints,cat,barrierfree_1,barrierfree_2,barrierfree_3,barrierfree_4,barrierfree_5,barrierfree_6,barrierfree_7,barrierfree_8,barrierfree_9,barrierfree_10,barrierfree_11,barrierfree_12,barrierfree_13,barrierfree_14,barrierfree_15,barrierfree_16,경사,경사_scale,승강기,화장실,주차장,테이블,total,접근성,title
1407,"- 23.11.14. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 없으며, 접근로 부근 주차 선 없는 주차 공간 있습니다.
- 외부 관람로 바닥 요철 마감이며, 일부 구간 장애물 있습니다.
- 장애인 화장실 없습니다.
- 점자블럭 없습니다.",제주 제주시 구좌읍 송당리 2173,09:00~18:00,,"https://easyjeju.net/data/cheditor4/2408/20240816105806_pnpmoaun.jpg,https://easyjeju.net/data/cheditor4/2408/20240816110151_krucxhbg.jpg",https://easyjeju.net/data/cheditor4/2408/20240816105806_pnpmoaun.jpg,33.45371325,126.7553128,"도움필요 (상),단차 (상),주차장",tour,도움필요 (상),단차 (상),주차장,,,,,,,,,,,,,,0,0,0,0,0,0,0,하,비밀의숲
1406,"- 23.09.12. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 화장실 건물 옆으로 장애인 전용 주차구역 1대, 제주신흥해수욕장 접근로 부근 공영주차장에 2대 있습니다.
- 신흥해수욕장 접근로 부근 공영주차장-신흥해수욕장 구간을 제외하고 접근로 단차 및 바닥 요철(모래) 마감입니다.
- 장애인 화장실 설치되어 있습니다.",제주특별자치도 제주시 조천읍 조함해안로 273-35,,,https://easyjeju.net/data/cheditor4/2408/20240816095733_rdiuksnx.jpg,https://easyjeju.net/data/cheditor4/2408/20240816095733_rdiuksnx.jpg,33.55195544,126.6485353,"도움필요 (상),경사로 (하),단차 (상),주차장,장애인 전용 주차구역,장애인 화장실,안내견 출입 가능,점자블록",tour,도움필요 (상),경사로 (하),단차 (상),주차장,장애인 전용 주차구역,장애인 화장실,안내견 출입 가능,점자블록,,,,,,,,,0,0,0,1,1,1,3,중,제주신흥해수욕장
1405,"- 23.09.12. 조사된 접근성 정보 입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 설치되어 있으나, 장애물 있습니다.
- 도보 접근 시 경사 있습니다.
- 내부 관람로 단차, 경사 없이 관람 가능합니다.
- 외부 관람로 테라스 출입구 낮은 단차 있으며, 옥상 정원 접근로 계단입니다.
- 1층 여자 장애인 화장실, 2층 남자 장애인 화장실 귀속 설치되어 있습니다.

※ 외부 관람로 옥상정원 구간 단차로 '도움필요 상' 이며 그 외 '단독접근가능' 입니다.",제주특별자치도 서귀포시 칠십리로214번길 30,064-763-3600,10:00~18:00,"https://easyjeju.net/data/cheditor4/2408/20240808104449_wrmxydin.jpg,https://easyjeju.net/data/cheditor4/2408/20240808104645_tnyzymlr.jpg,https://easyjeju.net/data/cheditor4/2408/20240808104706_pibzsuna.jpg",https://easyjeju.net/data/cheditor4/2408/20240808104449_wrmxydin.jpg,33.24530212,126.5736629,"도움필요 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,장애인 화장실,안내견 출입 가능",tour,도움필요 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,장애인 화장실,안내견 출입 가능,,,,,,,,,,0,0,0,1,1,1,3,중,왈종미술관
1404,"- 23.10.24. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 1, 2전시관 층간 이동 수단 계단입니다.
- 3, 4, 5 전시관 출입구 계단입니다.
- 장애인 화장실 있습니다.",제주특별자치도 서귀포시 안덕면 산록남로762번길 69 본태박물관,064-792-8108,10:00~18:00(입장마감:17:00),"https://easyjeju.net/data/cheditor4/2407/20240731133932_eaxgivbv.jpg,https://easyjeju.net/data/cheditor4/2407/20240731133601_yowdfdwa.jpg",https://easyjeju.net/data/cheditor4/2407/20240731133932_eaxgivbv.jpg,33.30395481,126.3925683,"도움필요 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,테이블 비치,보장구 대여,안내견 출입 가능,점자블록",tour,도움필요 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,테이블 비치,보장구 대여,안내견 출입 가능,점자블록,,,,,,,,0,0,0,0,1,1,2,중,본태박물관
1403,"- 23.10.24. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 내부 4D 상영관, 트램폴린파크 출입구 단차 있습니다.
- 외부 관람로  정원 관람로 6도 내외 경사, 미로공원 입구 경사 10도, 관람로 4도 내외 경사 있습니다.
- 캐릭터 미로공원 관람로 유효 폭 100cm 구간 있습니다.
- 장애인 화장실 없습니다.
- 수유실 설치되어 있습니다.
- 기념품샵, 식당 있습니다.
- 점자블록 없습니다.",제주특별자치도 서귀포시 안덕면 병악로 269 뽀로로앤타요테마파크제주,064-742-8555,10:00~18:00,"https://easyjeju.net/data/cheditor4/2407/20240730145541_chdwqrmy.jpg,https://easyjeju.net/data/cheditor4/2407/20240730145544_vygxwcmd.jpg,https://easyjeju.net/data/cheditor4/2407/20240730151200_mmdzguem.jpg",https://easyjeju.net/data/cheditor4/2407/20240730145541_chdwqrmy.jpg,33.30044296,126.3708109,"도움필요 (상),경사로 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,테이블 비치,수유실,안내견 출입 가능",tour,도움필요 (상),경사로 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,테이블 비치,수유실,안내견 출입 가능,,,,,,,,0,0,0,0,1,1,2,중,뽀로로앤타요 테마파크 제주
1402,"- 23.10.09. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 내부 관람로 단차, 경사 없이 관람 가능합니다.
- 수유실 설치되어 있습니다.
- 장애인 화장실 설치되어 있습니다.",제주특별자치도 서귀포시 안덕면 신화역사로188번길 151,064-792-6991,,"https://easyjeju.net/data/cheditor4/2407/20240730131218_usutpwmf.jpg,https://easyjeju.net/data/cheditor4/2407/20240730131424_pvklztky.jpg",https://easyjeju.net/data/cheditor4/2407/20240730131218_usutpwmf.jpg,33.29659264,126.3083111,"단독접근가능,주차장,장애인 전용 주차구역,매표소 접근 가능,장애인 화장실,아기의자,수유실,안내견 출입 가능,점자블록",tour,단독접근가능,주차장,장애인 전용 주차구역,매표소 접근 가능,장애인 화장실,아기의자,수유실,안내견 출입 가능,점자블록,,,,,,,,3,1,0,1,1,1,4,상,로봇플래닛
1400,"- 2023.10.28. 조사된 접근성 정보입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 주차장 진입 전 매표소 있습니다.
- 장애인 전용 주차구역 없으며, 주차장 바닥 요철 마감입니다.
- 외부 관람로 바닥 요철 마감 및 최대 15도 경사 있습니다.
- 내부 건물 출입구 접근로 요철 마감 및 출입구 단차 있습니다.
- 장애인 화장실 없습니다.",제주특별자치도 서귀포시 산록남로 1246 키위사랑쉼터 녹차미로공원,0507-1345-4405,09:00~18:00,"https://easyjeju.net/data/cheditor4/2407/20240702150733_pronqtxg.jpg,https://easyjeju.net/data/cheditor4/2407/20240702150758_moiakmgv.jpg",https://easyjeju.net/data/cheditor4/2407/20240702150733_pronqtxg.jpg,33.29384114,126.4214817,"도움필요 (상),경사로 (상),단차 (상),주차장,매표소 접근 가능,테이블 비치,안내견 출입 가능",tour,도움필요 (상),경사로 (상),단차 (상),주차장,매표소 접근 가능,테이블 비치,안내견 출입 가능,,,,,,,,,,0,0,0,0,0,0,0,하,녹차미로공원
1399,"- 23.12.09. 조사된 접근성 정보 입니다. 이후 접근성 정보가 변동 되었을 수 있습니다.
- 장애인 전용 주차장 있으며, 장애인 전용 주차구역 외 주차장 바닥 요철(잔디블럭) 마감입니다.
- 건물 출입구 여닫이문 형태이며, 층간이동 승강기 이용 가능합니다.
- 주 출입구 여닫이문 형태입니다.
- 내부 이동경로 단차, 경사 없으며, 일부 포토존 구간 유효 폭 약 50cm입니다.
- 장애인 화장실 있습니다.",제주특별자치도 서귀포시 중문관광로 205 코시롱빌딩 지하 1층,064-739-2839,10:00~20:00 (입장마감:19:00),"https://easyjeju.net/data/cheditor4/2406/20240626173948_mlbxudwl.jpg,https://easyjeju.net/data/cheditor4/2406/20240626173951_tkhhqelx.jpg,https://easyjeju.net/data/cheditor4/2406/20240626174003_isaokosz.jpg",https://easyjeju.net/data/cheditor4/2406/20240626173948_mlbxudwl.jpg,33.2438864,126.4216624,"단독접근가능,주차장,장애인 전용 주차구역,매표소 접근 가능,장애인 화장실,승강기,테이블 비치,아기의자,안내견 출입 가능,점자블록",tour,단독접근가능,주차장,장애인 전용 주차구역,매표소 접근 가능,장애인 화장실,승강기,테이블 비치,아기의자,안내견 출입 가능,점자블록,,,,,,,3,1,1,1,1,1,5,상,액트몬 제주점
1387,"- 23.10.22. 조사된 접근성 정보입니다. 이후 접근성 정보가 변경되었을 수 있습니다.
- 장애인 전용 주차구역 설치되어 있으나, 주 출입구까지 거리가 있습니다.
- 공연장 앞 열로 입장 가능하며, 휠체어 전용석 없습니다.
- 장애인 화장실 설치되어 있습니다.
- 전동 휠체어 급속 충전기 설치되어 있습니다.
- 외부 관람로 명품 분재원 다리 구간 짧은 경사로 16도 있습니다.

※ 외부 관람로 다리 구간 경사로 '도움필요 상' 이며 그 외 '단독접근가능' 입니다.",제주특별자치도 제주시 구좌읍 번영로 2172-80 제주아트랜드,064-782-7870,"09:30~14:30(휴게시간:12:00~13:00)
공연시간:09:30, 11:00, 14:30 ",https://easyjeju.net/data/cheditor4/2404/20240424111838_wbtccbhg.jpg,https://easyjeju.net/data/cheditor4/2404/20240424111838_wbtccbhg.jpg,33.42410501,126.7430498,"도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,장애인 화장실,테이블 비치,전동휠체어 급속충전기,안내견 출입 가능",tour,도움필요 (상),경사로 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,장애인 화장실,테이블 비치,전동휠체어 급속충전기,안내견 출입 가능,,,,,,,,0,0,0,1,1,1,3,중,제주 스카이워터쇼
1384,"- 2023.10.05. 조사된 접근성 정보입니다. 이후 접근성 정보가 변경되었을 수 있습니다.
- 장애인 전용 주차구역 있습니다.
- 안내데스크 접근로 3도 경사로 있습니다.
- 내부 단차, 경사 없이 관람 가능합니다.
- 장애인 화장실 1층, 3층, 4층 설치되어 있으며, 세면대 설치로 전면 공간 협소합니다.",제주특별자치도 제주시 연북로 339,0507-1336-3490,09:00~18:00,"https://easyjeju.net/data/cheditor4/2404/20240417101226_hhxqsfdm.jpg,https://easyjeju.net/data/cheditor4/2404/20240417101251_zuyvfgik.jpg",https://easyjeju.net/data/cheditor4/2404/20240417101226_hhxqsfdm.jpg,33.48135504,126.5178457,"단독접근가능,주차장,장애인 전용 주차구역,장애인 화장실,승강기,안내데스크,테이블 비치,보장구 대여,유아차 대여,아기의자,수유실,안내견 출입 가능,점자블록,점자안내판(점자촉지도)",tour,단독접근가능,주차장,장애인 전용 주차구역,장애인 화장실,승강기,안내데스크,테이블 비치,보장구 대여,유아차 대여,아기의자,수유실,안내견 출입 가능,점자블록,점자안내판(점자촉지도),,,3,1,1,1,1,1,5,상,제주문학관
1383,"- 2023.10.02. 조사된 접근성 정보입니다. 이후 접근성 정보가 변경되었을 수 있습니다.
- 장애인 전용 주차구역 2대 있으며, 입식 안내표지 없습니다.
- 매표소 접근로 요철(잔디, 자연석)마감입니다.
- 외부 관람로 바닥 요철(잔디, 흙, 자갈 등)입니다.
- 내부 주 출입구 파충류관 단차 약 4cm, AR 고흐 1관 단차(계단), AR 고흐 2관 낮은 단차 있습니다.
- 파충류관 출구 요철(자연석)마감이며, 내부 단차, 경사 없으며, 유효 폭 적정합니다.
- AR 고흐 1관 내부 일부 구간 단차 있으며, 경사 없고 유효 폭 적정하고 출구 단차 있습니다.
- AR 고흐 2관 내부 단차, 경사 없으며, 유효 폭 적정합니다.
- 장애인 화장실 없으며, 비장애인 화장실 관광지 내 야외 1개 출구 부근에 1개 설치되어 있습니다.
- 점자블록 없습니다.",제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,064-783-6700,09:30~18:30(입장마감:17:30),"https://easyjeju.net/data/cheditor4/2403/20240326103123_gthosnqd.jpg,https://easyjeju.net/data/cheditor4/2403/20240326103127_bqegtwva.jpg,https://easyjeju.net/data/cheditor4/2403/20240326103132_wwmmltlf.jpg",https://easyjeju.net/data/cheditor4/2403/20240326103123_gthosnqd.jpg,33.37340946,126.8440865,"도움필요 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,안내견 출입 가능",tour,도움필요 (상),단차 (상),주차장,장애인 전용 주차구역,매표소 접근 가능,안내견 출입 가능,,,,,,,,,,,0,0,0,0,1,1,2,중,고흐의정원
